,count,unique,top,freq,mean,std,min,25%,50%,75%,max
loan_amnt,396030.0,,,,14113.888089286165,8357.441341104766,500.0,8000.0,12000.0,20000.0,40000.0
term,396030,2, 36 months,302005,,,,,,,
int_rate,396030.0,,,,13.6394000454511,4.472157381531264,5.32,10.49,13.33,16.49,30.99
installment,396030.0,,,,431.84969802792716,250.72778950372265,16.08,250.33,375.43,567.3,1533.81
grade,396030,7,B,116018,,,,,,,
sub_grade,396030,35,B3,26655,,,,,,,
emp_title,373103,173105,Teacher,4389,,,,,,,
emp_length,377729,11,10+ years,126041,,,,,,,
home_ownership,396030,6,MORTGAGE,198348,,,,,,,
annual_inc,396030.0,,,,74203.17579771738,61637.62115809231,0.0,45000.0,64000.0,90000.0,8706582.0
verification_status,396030,3,Verified,139563,,,,,,,
issue_d,396030,115,Oct-2014,14846,,,,,,,
loan_status,396030,2,Fully Paid,318357,,,,,,,
purpose,396030,14,debt_consolidation,234507,,,,,,,
title,394274,48816,Debt consolidation,152472,,,,,,,
dti,396030.0,,,,17.379513647955967,18.01909234407092,0.0,11.28,16.91,22.98,9999.0
earliest_cr_line,396030,684,Oct-2000,3017,,,,,,,
open_acc,396030.0,,,,11.31115319546499,5.137648808017821,0.0,8.0,10.0,14.0,90.0
pub_rec,396030.0,,,,0.17819104613286874,0.530670600474012,0.0,0.0,0.0,0.0,86.0
revol_bal,396030.0,,,,15844.539853041437,20591.836109200358,0.0,6025.0,11181.0,19620.0,1743266.0
revol_util,395754.0,,,,53.79174863677942,24.452193062711817,0.0,35.8,54.8,72.9,892.3
total_acc,396030.0,,,,25.41474383253794,11.886990723974632,2.0,17.0,24.0,32.0,151.0
initial_list_status,396030,2,f,238066,,,,,,,
application_type,396030,3,INDIVIDUAL,395319,,,,,,,
mort_acc,358235.0,,,,1.8139908160844138,2.147930467123299,0.0,0.0,1.0,3.0,34.0
pub_rec_bankruptcies,395495.0,,,,0.12164755559488742,0.3561742766275257,0.0,0.0,0.0,0.0,8.0
address,396030,393700,"USS Smith
FPO AP 70466",8,,,,,,,
