feature,unique_values,null_pct,mode_pct,dtype
mort_acc,33,9.543468929121532,35.294548392798525,float64
emp_title,173105,5.7892078882912905,5.7892078882912905,object
emp_length,11,4.621114562028129,31.826124283513874,object
title,48816,0.4434007524682474,38.500113627755475,object
pub_rec_bankruptcies,9,0.13509077595131683,88.4730954725652,float64
revol_util,1226,0.06969169002348306,0.558796050804232,float64
address,393700,0.0,0.002020048986187915,object
installment,55706,0.0,0.24442592732873775,float64
revol_bal,55622,0.0,0.5373330303259853,float64
annual_inc,27197,0.0,3.866626265686943,float64
dti,4262,0.0,0.07903441658460218,float64
loan_amnt,1397,0.0,6.986339418730904,float64
earliest_cr_line,684,0.0,0.7618109739161174,object
int_rate,566,0.0,3.133853495947277,float64
total_acc,118,0.0,3.605787440345428,float64
issue_d,115,0.0,3.7487059061182237,object
open_acc,61,0.0,9.286922707875666,float64
sub_grade,35,0.0,6.730550715854859,object
pub_rec,20,0.0,85.4157513319698,float64
purpose,14,0.0,59.21445345049617,object
grade,7,0.0,29.295255409943692,object
home_ownership,6,0.0,50.08408453905007,object
verification_status,3,0.0,35.24051208241799,object
application_type,3,0.0,99.82046814635255,object
term,2,0.0,76.25811175921015,object
loan_status,2,0.0,80.38709188697825,object
initial_list_status,2,0.0,60.11312274322652,object
