lmt,job,ncloseCreditCard,basicLevel,unpayNormalLoan,lmt_amt_bucket,lmt_business_bin,lmt_capacity_level,job_group,job_stability_level,job_risk_level,basic_level_clean,credit_history_level,multi_head_cnt_proxy,multi_head_level,credit_burden_level,debt_pressure_level,income_proxy_amt,income_proxy_level,expense_proxy_amt,expense_proxy_level,disposable_income_proxy_amt,cashflow_pressure_level,affordability_level,qualification_score,value_score,risk_score,strategy_segment,limit_recommend_amt,price_group,target
5.963,8,1,3,0,8000,6,4,4,2,4,3,3,1,2,2,2,5500,4,3000,3,2000,3,5,3,4,1,1,7500,2,0
6.467,3,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
0.596,5,0,1,0,1000,2,1,3,3,3,1,1,0,1,1,1,2500,1,1000,1,1500,3,5,3,2,1,3,1000,4,0
6.3,4,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6000,4,3500,3,2000,3,5,4,4,1,1,8000,2,0
6.7,2,1,2,0,8000,6,4,1,5,1,2,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
5.867,4,1,3,1,8000,6,4,2,4,2,3,3,2,3,4,4,6000,4,4000,4,1000,3,5,3,3,3,2,6000,3,0
12.63,3,1,1,1,15000,8,5,2,4,2,1,3,3,4,4,4,9500,5,6000,5,2000,3,5,3,4,2,1,12500,2,0
1.096,3,1,1,0,2000,3,2,2,4,2,1,3,1,2,1,1,4000,3,2000,2,1500,3,5,4,3,1,2,2000,3,0
0.83,4,0,2,0,1000,2,1,2,4,2,2,1,0,1,1,1,3000,2,1500,1,1500,3,5,3,2,1,3,1000,4,0
7.667,3,0,1,0,8000,6,4,2,4,2,1,1,0,1,1,1,7000,4,3000,3,4000,2,5,4,4,1,1,8000,2,0
1.463,2,1,1,0,2000,3,2,1,5,1,1,3,1,2,1,1,4000,3,2000,2,1500,3,5,4,3,1,2,2000,3,0
2.8,4,0,2,0,3000,4,2,2,4,2,2,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,1,2,3000,3,0
0.596,3,1,3,0,1000,2,1,2,4,2,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,1000,3,0
1.396,3,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
0.967,4,1,3,0,1000,2,1,2,4,2,3,3,1,2,2,1,2500,1,1500,1,500,4,4,3,2,1,3,1000,4,0
4.467,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
