system,execution_time,memory_used_mb,memory_samples,violations_count,success,run_id,output_dir,test_case,data_size,timestamp,conforms,violation_file
Soufflé,0.24454498291015625,5.51953125,175.0,0,True,souffle_simple_constraints_1000_20250817_224354,results/all_runs/run_souffle_simple_constraints_1000_20250817_224354,simple_constraints_1000,1000,20250817_224354,,
pySHACL,3.1574859619140625,2.7134571075439453,,0,True,pyshacl_simple_constraints_1000_20250817_224354,,simple_constraints_1000,1000,20250817_224354,True,results/all_violations/pyshacl_simple_constraints_1000_20250817_224354_violations.json
Soufflé,0.17444205284118652,5.46875,125.0,0,True,souffle_simple_constraints_3000_20250817_224358,results/all_runs/run_souffle_simple_constraints_3000_20250817_224358,simple_constraints_3000,3000,20250817_224358,,
pySHACL,8.879481077194214,6.690717697143555,,0,True,pyshacl_simple_constraints_3000_20250817_224358,,simple_constraints_3000,3000,20250817_224358,True,results/all_violations/pyshacl_simple_constraints_3000_20250817_224358_violations.json
Soufflé,0.32175517082214355,5.8046875,163.0,14,True,souffle_simple_constraints_5000_20250817_224407,results/all_runs/run_souffle_simple_constraints_5000_20250817_224407,simple_constraints_5000,5000,20250817_224407,,
pySHACL,15.288629055023193,10.900228500366211,,14,True,pyshacl_simple_constraints_5000_20250817_224407,,simple_constraints_5000,5000,20250817_224407,False,results/all_violations/pyshacl_simple_constraints_5000_20250817_224407_violations.json
Soufflé,0.1978921890258789,6.0859375,141.0,28,True,souffle_simple_constraints_10000_20250817_224423,results/all_runs/run_souffle_simple_constraints_10000_20250817_224423,simple_constraints_10000,10000,20250817_224423,,
pySHACL,37.0280659198761,24.795316696166992,,28,True,pyshacl_simple_constraints_10000_20250817_224423,,simple_constraints_10000,10000,20250817_224423,False,results/all_violations/pyshacl_simple_constraints_10000_20250817_224423_violations.json
Soufflé,0.1859431266784668,5.69140625,131.0,3,True,souffle_medium_constraints_1000_20250817_224502,results/all_runs/run_souffle_medium_constraints_1000_20250817_224502,medium_constraints_1000,1000,20250817_224502,,
pySHACL,3.400545120239258,2.301633834838867,,3,True,pyshacl_medium_constraints_1000_20250817_224502,,medium_constraints_1000,1000,20250817_224502,False,results/all_violations/pyshacl_medium_constraints_1000_20250817_224502_violations.json
Soufflé,0.20065999031066895,6.0234375,145.0,12,True,souffle_medium_constraints_3000_20250817_224505,results/all_runs/run_souffle_medium_constraints_3000_20250817_224505,medium_constraints_3000,3000,20250817_224505,,
pySHACL,9.729511022567749,6.72265625,,12,True,pyshacl_medium_constraints_3000_20250817_224505,,medium_constraints_3000,3000,20250817_224505,False,results/all_violations/pyshacl_medium_constraints_3000_20250817_224505_violations.json
Soufflé,0.24391770362854004,6.19140625,176.0,57,True,souffle_medium_constraints_5000_20250817_224515,results/all_runs/run_souffle_medium_constraints_5000_20250817_224515,medium_constraints_5000,5000,20250817_224515,,
pySHACL,16.786660194396973,10.900541305541992,,57,True,pyshacl_medium_constraints_5000_20250817_224515,,medium_constraints_5000,5000,20250817_224515,False,results/all_violations/pyshacl_medium_constraints_5000_20250817_224515_violations.json
Soufflé,0.22746920585632324,6.875,164.0,140,True,souffle_medium_constraints_10000_20250817_224533,results/all_runs/run_souffle_medium_constraints_10000_20250817_224533,medium_constraints_10000,10000,20250817_224533,,
pySHACL,42.40258169174194,24.814870834350586,,140,True,pyshacl_medium_constraints_10000_20250817_224533,,medium_constraints_10000,10000,20250817_224533,False,results/all_violations/pyshacl_medium_constraints_10000_20250817_224533_violations.json
Soufflé,0.25673699378967285,5.6796875,184.0,3,True,souffle_complex_constraints_1000_20250817_224617,results/all_runs/run_souffle_complex_constraints_1000_20250817_224617,complex_constraints_1000,1000,20250817_224617,,
pySHACL,3.665020227432251,2.3237667083740234,,3,True,pyshacl_complex_constraints_1000_20250817_224617,,complex_constraints_1000,1000,20250817_224617,False,results/all_violations/pyshacl_complex_constraints_1000_20250817_224617_violations.json
Soufflé,0.20463895797729492,5.91015625,149.0,12,True,souffle_complex_constraints_3000_20250817_224621,results/all_runs/run_souffle_complex_constraints_3000_20250817_224621,complex_constraints_3000,3000,20250817_224621,,
pySHACL,10.562376022338867,6.691030502319336,,12,True,pyshacl_complex_constraints_3000_20250817_224621,,complex_constraints_3000,3000,20250817_224621,False,results/all_violations/pyshacl_complex_constraints_3000_20250817_224621_violations.json
Soufflé,0.19150900840759277,6.125,135.0,57,True,souffle_complex_constraints_5000_20250817_224632,results/all_runs/run_souffle_complex_constraints_5000_20250817_224632,complex_constraints_5000,5000,20250817_224632,,
pySHACL,20.256510257720947,10.908056259155273,,57,True,pyshacl_complex_constraints_5000_20250817_224632,,complex_constraints_5000,5000,20250817_224632,False,results/all_violations/pyshacl_complex_constraints_5000_20250817_224632_violations.json
Soufflé,0.22188711166381836,6.8828125,161.0,140,True,souffle_complex_constraints_10000_20250817_224653,results/all_runs/run_souffle_complex_constraints_10000_20250817_224653,complex_constraints_10000,10000,20250817_224653,,
pySHACL,45.921592235565186,24.815832138061523,,140,True,pyshacl_complex_constraints_10000_20250817_224653,,complex_constraints_10000,10000,20250817_224653,False,results/all_violations/pyshacl_complex_constraints_10000_20250817_224653_violations.json
