LoanAmount,MonthlyIncome,CreditScore,LoanDuration,HistoricalDelinquencies,DebtToIncomeRatio,Age,EmploymentDuration,OtherLoans,Homeownership,target,date,uid
20795,6574,727,51,2,0.4077129871011927,45,16,3,0,0,2023-05,100001
5860,8827,786,41,2,0.29441606036181744,29,14,5,0,0,2023-09,100002
43158,7904,802,16,0,0.8809897328174772,56,5,7,0,1,2023-05,100003
49732,9820,533,23,4,0.9019962227083242,37,11,2,0,1,2023-06,100004
16284,3270,501,21,2,0.4130316916718513,46,24,5,0,0,2023-09,100005
11265,4543,694,22,1,0.697408438774211,36,21,5,0,0,2023-07,100006
21850,3549,593,29,8,0.40692293183231093,29,26,0,0,0,2023-07,100007
42194,8233,827,39,9,0.38010130171486306,30,21,5,0,1,2023-06,100008
26962,7663,807,9,5,0.21696644050513225,66,8,0,0,0,2023-06,100009
49131,7014,634,40,2,0.66172753406885,43,9,8,0,1,2023-05,100010
21023,7454,703,20,6,0.31995323454844576,38,18,3,0,0,2023-05,100011
46090,8769,749,7,8,0.20989694629354558,63,8,4,0,1,2023-07,100012
6685,8733,646,56,8,0.28388093146945387,35,7,0,0,0,2023-08,100013
5769,8453,845,36,0,0.45101535327025105,42,8,0,0,0,2023-08,100014
7433,4712,847,14,1,0.7353305520893694,31,15,8,0,0,2023-06,100015
10311,6240,753,15,7,0.3620984426657001,38,19,5,0,0,2023-09,100016
42819,4362,833,58,0,0.9100724500253374,44,4,9,0,1,2023-06,100017
44188,7893,675,30,2,0.43079072830636006,22,7,9,0,1,2023-05,100018
22568,4284,624,56,6,0.46498103153892,32,21,5,0,0,2023-09,100019
24769,3886,750,10,7,0.37438174396158186,40,23,4,0,0,2023-07,100020
33693,8854,630,19,4,0.40304426965747076,41,22,5,0,1,2023-09,100021
11396,8318,549,47,1,0.25930809164251345,66,4,7,0,0,2023-06,100022
32480,5258,592,53,2,0.4358164629729516,48,15,6,0,0,2023-08,100023
46434,7382,809,43,8,0.8876939676804985,68,2,6,0,1,2023-05,100024
30658,8811,719,45,9,0.7507396331164908,62,12,8,0,1,2023-09,100025
23942,4785,833,7,6,0.9002145630924934,44,6,8,0,1,2023-05,100026
23431,7838,833,23,0,0.28388721150348534,42,6,8,0,0,2023-05,100027
7747,6543,519,34,2,0.5644933046737273,31,14,0,0,0,2023-05,100028
5189,8601,704,58,8,0.38340389838409206,68,6,5,0,1,2023-07,100029
24118,9136,590,58,6,0.7769724724449185,42,1,4,0,1,2023-06,100030
40773,8142,672,58,1,0.9761902597807124,24,6,7,0,1,2023-09,100031
6899,3295,688,25,5,0.8522875832402304,48,18,9,0,0,2023-09,100032
6267,5053,811,13,8,0.22822253340080512,24,26,7,0,0,2023-09,100033
36551,5597,501,42,3,0.45332775571538736,58,21,7,0,0,2023-09,100034
16394,3680,667,54,9,0.22286375236041886,54,16,4,0,0,2023-09,100035
8556,8987,523,53,1,0.23213357354478845,54,23,9,0,0,2023-09,100036
8890,7890,567,31,2,0.2636122433315311,36,26,9,0,0,2023-09,100037
46606,7298,693,42,6,0.4210615431764495,49,1,0,0,1,2023-09,100038
35740,3324,583,54,3,0.4433622141105049,21,21,3,0,0,2023-06,100039
19502,9968,706,9,6,0.5203628105879106,34,25,6,0,1,2023-06,100040
26777,5291,548,38,4,0.5239448755730369,42,19,1,0,0,2023-08,100041
15627,7422,531,27,7,0.8171272094745448,61,29,6,0,1,2023-05,100042
13792,3986,816,11,7,0.31312259486311983,45,18,4,0,0,2023-06,100043
48323,6118,669,38,4,0.32619249264340616,30,26,5,0,1,2023-08,100044
48021,3760,628,33,6,0.7012712413377873,43,2,5,0,1,2023-08,100045
13433,6693,601,29,5,0.6573937217539974,28,19,4,0,0,2023-08,100046
48001,4036,534,9,7,0.32320376438569,33,17,9,0,0,2023-09,100047
16016,3906,806,7,8,0.8818115414831353,43,18,6,0,1,2023-08,100048
28897,8499,698,18,4,0.46324753128096596,26,22,3,0,0,2023-07,100049
7612,3364,800,51,6,0.493573878835589,29,24,0,0,0,2023-06,100050
28483,6413,576,54,0,0.5363680646676708,52,4,8,0,0,2023-06,100051
22159,8340,820,16,7,0.45816149659114863,52,18,6,0,1,2023-06,100052
49974,9216,513,40,2,0.6459640418181012,65,5,8,0,1,2023-05,100053
45994,8744,848,44,0,0.5109181785265589,46,29,8,0,1,2023-06,100054
19541,4069,630,15,5,0.4075477807562301,27,12,6,0,0,2023-09,100055
40920,7369,737,48,7,0.9235798941686195,33,15,1,0,1,2023-08,100056
31531,5255,779,15,2,0.4466805921121238,26,15,1,0,0,2023-08,100057
6585,9048,564,13,0,0.7587911403750576,37,3,3,0,0,2023-09,100058
8943,8980,637,10,2,0.47778141628551696,45,21,8,0,0,2023-06,100059
28939,6686,768,28,4,0.5481759895019775,60,3,6,0,1,2023-07,100060
24457,7219,727,39,7,0.3887548187210653,34,11,8,0,1,2023-05,100061
6021,6081,700,52,8,0.8018636955098033,52,20,3,0,1,2023-09,100062
16653,8448,641,37,8,0.7897626011410026,30,21,8,0,1,2023-07,100063
48573,6258,599,21,3,0.21779195664648016,38,14,6,0,0,2023-05,100064
18417,9686,637,9,7,0.24815523224103347,61,7,7,0,0,2023-06,100065
45757,8787,667,59,4,0.9379011637959518,37,18,0,0,1,2023-09,100066
14692,5107,598,33,2,0.9110614777902806,41,6,8,0,0,2023-05,100067
11873,5933,810,53,4,0.6048697542228243,55,22,7,0,1,2023-09,100068
10675,5829,818,49,1,0.5946859132466692,37,6,0,0,0,2023-06,100069
5161,3441,826,19,5,0.849939339507034,37,23,7,0,0,2023-06,100070
42065,8336,565,17,0,0.3107601175079032,41,11,4,0,0,2023-06,100071
31557,8006,834,26,5,0.7229592970767673,44,3,2,0,1,2023-07,100072
38763,8121,828,53,4,0.5807863955898076,63,29,7,0,1,2023-07,100073
37606,4559,546,21,8,0.7946648234524984,50,21,2,0,1,2023-07,100074
16534,4741,836,59,6,0.22408223304959238,28,14,7,0,0,2023-07,100075
34127,9975,730,49,5,0.6741804397791509,69,12,4,0,1,2023-07,100076
45397,8830,807,7,6,0.6453825721724461,57,25,7,0,1,2023-06,100077
30851,3625,645,28,9,0.8726786636713484,38,14,2,0,1,2023-06,100078
6016,6863,706,34,4,0.7414690380440223,44,15,9,0,1,2023-07,100079
29253,4690,645,51,0,0.9041282867165101,34,25,5,0,0,2023-07,100080
29276,8093,651,48,8,0.9098186573140472,24,23,5,0,1,2023-05,100081
28247,5781,778,14,4,0.5265312007197742,30,9,3,0,0,2023-08,100082
29300,3090,639,59,3,0.3099473070014505,32,19,4,0,0,2023-08,100083
13529,9310,650,12,5,0.7042269246577504,53,12,6,0,1,2023-06,100084
22262,6006,520,34,4,0.8989968787268083,27,7,0,0,0,2023-07,100085
14268,7302,753,49,0,0.25996267535580864,44,17,7,0,0,2023-09,100086
26271,4088,563,22,1,0.6463386184677313,46,14,2,0,0,2023-05,100087
17185,9007,717,14,3,0.29199962132785917,30,29,6,0,0,2023-09,100088
26243,7611,571,11,7,0.22159679340416158,37,15,8,0,0,2023-07,100089
44099,4180,661,49,4,0.7437082831526669,29,14,1,0,0,2023-08,100090
